Tanggal,Waktu,Response,Protocol,IP,Port,Byte,Domain
23-feb-2022,22:15:18.000,ar,udp,115.112.18.10,57864,744,host22.jnetwork.net.id
23-feb-2022,22:15:18.000,ar,udp,61.220.8.63,39844,717,ip-182-16-245-79.interlink.net.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,122.252.0.4,1247,191,nssec1.radnet-digital.id
23-feb-2022,22:15:18.000,ar,udp,106.241.133.50,44217,509,pj.feb.unri.ac.id
23-feb-2022,22:15:18.000,ar,udp,61.220.8.117,39632,726,ns1.netciti.co.id
23-feb-2022,22:15:18.000,ar,udp,60.251.7.162,60934,442,goodfeel.my.id
23-feb-2022,22:15:18.000,aq,udp,23.32.237.144,49538,45,link.alfagift.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,209.250.230.218,14517,42,kalteng.go.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,23.237.137.204,48632,44,telkomsel.co.id
23-feb-2022,22:15:18.000,aq,udp,61.220.8.117,58793,46,ns1.netciti.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,23.32.237.144,49538,166,link.alfagift.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,209.250.230.218,14517,679,kalteng.go.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,23.237.137.204,48632,769,telkomsel.co.id
23-feb-2022,22:15:18.000,ar,udp,61.220.8.117,58793,726,ns1.netciti.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,211.16.9.169,18775,43,c.lazada.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,216.123.200.36,16878,45,ns4.hoster.co.id
23-feb-2022,22:15:18.000,aq,udp,61.220.8.117,47789,46,ns2.netciti.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,211.16.9.169,18775,93,c.lazada.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,216.123.200.36,16878,896,ns4.hoster.co.id
23-feb-2022,22:15:18.000,ar,udp,61.220.8.117,47789,730,ns2.netciti.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,60.251.7.162,60792,43,goodfeel.my.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,61.220.8.117,34907,46,ns2.netciti.co.id
23-feb-2022,22:15:18.000,aq,udp,61.220.3.29,10046,45,ns2.telkom.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,60.251.7.162,60792,442,goodfeel.my.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,61.220.8.117,34907,730,ns2.netciti.co.id
23-feb-2022,22:15:18.000,ar,udp,61.220.3.29,10046,758,ns2.telkom.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,210.150.23.58,54570,48,api.gw.airpay.co.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,210.150.23.58,54570,187,api.gw.airpay.co.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,46487,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,41781,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,115.112.18.10,59473,56,jnetwork.net.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,115.112.18.10,59473,694,jnetwork.net.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,60980,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,111.118.0.11,39165,49,relay.ngawikab.go.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,111.118.0.11,39165,706,relay.ngawikab.go.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,40368,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,45138,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,32861,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,44597,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,44597,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,44597,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,39468,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,44597,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,154.61.81.202,16233,45,datautama.net.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,44597,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,154.61.81.202,16233,686,datautama.net.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,44597,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,164.124.101.42,11109,57,kartolo.sby.datautama.net.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,44597,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,164.124.101.42,11109,949,kartolo.sby.datautama.net.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,44597,32,ntp.ubuntu.com
